# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sun Apr 23 00:49:14 2017
#
# CONSTRAINT:  where (st_dist > 0
# CONSTRAINT:  )
#
# COLUMN ra:             RA [sexagesimal]
# COLUMN dec:            Dec [sexagesimal]
# COLUMN st_dist:        Distance [pc]
# COLUMN pl_name:        Planet Name
# COLUMN pl_masse:       Planet Mass [Earth mass]
# COLUMN pl_msinie:      Planet M*sin(i) [Earth mass]
# COLUMN pl_rade:        Planet Radius [Earth radii]
# COLUMN pl_rads:        Planet Radius [Solar radii]
# COLUMN pl_disc:        Year of Discovery
# COLUMN pl_status:      Status
# COLUMN pl_mnum:        Number of Moons in System
#
rowid,ra,dec,st_dist,pl_name,pl_masse,pl_msinie,pl_rade,pl_rads,pl_disc,pl_status,pl_mnum
3275,217.428955,-62.679485,1.29,Proxima Cen b,,1.27000,,,2016,3,0
3455,53.232685,-9.458262,3.21,eps Eri b,492.63650,247.90740,,,2000,3,0
107,4.595356,44.022953,3.57,GJ 15 A b,,5.35000,,,2014,3,0
112,111.852081,5.225785,3.80,GJ 273 b,,2.89000,,,2017,3,0
113,111.852081,5.225785,3.80,GJ 273 c,,1.18000,,,2017,3,0
899,77.919090,-45.018414,3.92,Kapteyn c,,7.00000,,,2014,3,0
3438,247.575241,-12.662594,4.30,Wolf 1061 b,,1.91000,,,2015,3,0
3439,247.575241,-12.662594,4.30,Wolf 1061 c,,3.41000,,,2015,3,0
3440,247.575241,-12.662594,4.30,Wolf 1061 d,,7.70000,,,2015,3,0
149,264.107910,68.339142,4.53,GJ 687 b,,18.39400,,,2014,3,0
144,262.166443,-46.895191,4.54,GJ 674 b,,11.09000,,,2007,3,0
154,343.319733,-14.263700,4.70,GJ 876 b,723.22350,,,,1998,3,0
155,343.319733,-14.263700,4.70,GJ 876 c,226.98460,,,,2000,3,0
156,343.319733,-14.263700,4.70,GJ 876 d,6.83000,,,,2005,3,0
157,343.319733,-14.263700,4.70,GJ 876 e,14.60000,,,,2010,3,0
150,323.391571,-49.009006,4.94,GJ 832 b,,216.00000,,,2008,3,0
151,323.391571,-49.009006,4.94,GJ 832 c,,5.40000,,,2014,3,0
124,75.489280,-6.946263,5.32,GJ 3323 b,,2.02000,,,2017,3,0
125,75.489280,-6.946263,5.32,GJ 3323 c,,2.31000,,,2017,3,0
481,49.981876,-43.069782,6.06,HD 20794 b,,2.70000,,,2011,3,0
482,49.981876,-43.069782,6.06,HD 20794 c,,2.40000,,,2011,3,0
483,49.981876,-43.069782,6.06,HD 20794 d,,4.80000,,,2011,3,0
135,229.861771,-7.722280,6.27,GJ 581 b,,15.80000,,,2005,3,0
136,229.861771,-7.722280,6.27,GJ 581 c,,5.50000,,,2007,3,0
137,229.861771,-7.722280,6.27,GJ 581 e,,1.70000,,,2009,3,0
505,348.320740,57.168354,6.55,HD 219134 b,4.74000,,1.602,0.015,2015,3,0
506,348.320740,57.168354,6.55,HD 219134 c,4.36000,,1.511,0.014,2015,3,0
507,348.320740,57.168354,6.55,HD 219134 d,16.17000,,1.610,0.015,2015,3,0
508,348.320740,57.168354,6.55,HD 219134 f,7.30000,,1.310,0.012,2015,3,0
509,348.320740,57.168354,6.55,HD 219134 g,,10.80622,,,2015,3,0
510,348.320740,57.168354,6.55,HD 219134 h,,108.06220,,,2015,3,0
139,259.745085,-34.996827,6.80,GJ 667 C b,,5.60000,,,2011,3,0
140,259.745085,-34.996827,6.80,GJ 667 C c,,3.80000,,,2011,3,0
141,259.745085,-34.996827,6.80,GJ 667 C e,,2.70000,,,2013,3,0
142,259.745085,-34.996827,6.80,GJ 667 C f,,2.70000,,,2013,3,0
143,259.745085,-34.996827,6.80,GJ 667 C g,,4.60000,,,2013,3,0
418,5.305497,-8.281169,7.01,HD 1690 b,,1938.68000,,,2010,3,0
688,165.867114,-22.093977,7.56,HD 95872 b,,1462.01800,,,2015,3,0
104,344.412689,-29.622236,7.69,Fomalhaut b,,,,,2008,3,0
31,199.601318,-18.311195,8.52,61 Vir b,,5.10000,,,2009,3,0
32,199.601318,-18.311195,8.52,61 Vir c,,18.20000,,,2009,3,0
33,199.601318,-18.311195,8.52,61 Vir d,,22.90000,,,2009,3,0
152,332.418121,-4.640729,8.77,GJ 849 b,,289.21000,,,2006,3,0
458,303.822449,-27.032976,8.82,HD 192310 b,,16.90000,,,2011,3,0
459,303.822449,-27.032976,8.82,HD 192310 c,,24.00000,,,2011,3,0
131,173.862289,-32.539970,9.04,GJ 433 b,,5.79000,,,2011,3,0
266,176.629471,-40.500355,9.24,HD 102365 b,,16.00000,,,2010,3,0
543,70.732407,18.958172,9.42,HD 285968 b,,8.40000,,,2008,3,0
134,210.263290,-2.654864,10.03,GJ 536 b,,5.36000,,,2016,3,0
3435,184.487125,16.444500,10.10,WISEP J121756.91+162640.2 A b,6992.00000,,10.468,0.096,2012,3,0
132,175.546219,26.706570,10.23,GJ 436 b,22.10000,,4.170,0.038,2004,3,0
138,254.536880,25.744160,10.32,GJ 649 b,,104.24400,,,2009,3,0
620,116.328957,28.026199,10.34,HD 62509 b,,731.00000,,,2006,3,0
153,32.608059,-50.823723,10.91,GJ 86 b,,1242.66000,,,1999,3,0
714,175.435974,42.751972,11.03,HIP 57050 b,,94.70940,,,2010,3,0
566,9.840858,21.250473,11.10,HD 3651 b,,72.78000,,,2003,3,0
667,147.779388,-43.502789,11.15,HD 85512 b,,3.60000,,,2011,3,0
3281,195.194092,12.375724,11.43,Ross 458 c,1997.59000,,13.675,0.125,2010,3,0
105,153.715737,-47.156727,12.04,GJ 1132 b,1.62000,,1.160,0.011,2015,3,0
3286,346.622013,-5.041274,12.10,TRAPPIST-1 b,0.85000,,1.086,0.010,2016,3,0
3287,346.622013,-5.041274,12.10,TRAPPIST-1 c,1.38000,,1.056,0.010,2016,3,0
3288,346.622013,-5.041274,12.10,TRAPPIST-1 d,0.41000,,0.772,0.007,2016,3,0
3289,346.622013,-5.041274,12.10,TRAPPIST-1 e,0.62000,,0.918,0.008,2017,3,0
3290,346.622013,-5.041274,12.10,TRAPPIST-1 f,0.68000,,1.045,0.010,2017,3,0
3291,346.622013,-5.041274,12.10,TRAPPIST-1 g,1.34000,,1.127,0.010,2017,3,0
3292,346.622013,-5.041274,12.10,TRAPPIST-1 h,,,0.755,0.007,2017,3,0
111,73.023865,6.476539,12.12,GJ 179 b,,260.61000,,,2009,3,0
25,133.149216,28.330818,12.53,55 Cnc b,263.97850,,,,1996,3,0
26,133.149216,28.330818,12.53,55 Cnc c,54.47380,,,,2004,3,0
27,133.149216,28.330818,12.53,55 Cnc d,1232.49300,,,,2002,3,0
28,133.149216,28.330818,12.53,55 Cnc e,8.08000,,1.910,0.018,2004,3,0
29,133.149216,28.330818,12.53,55 Cnc f,44.81200,,,,2007,3,0
633,124.599777,-12.632174,12.58,HD 69830 b,,10.20000,,,2006,3,0
634,124.599777,-12.632174,12.58,HD 69830 c,,11.80000,,,2006,3,0
635,124.599777,-12.632174,12.58,HD 69830 d,,18.10000,,,2006,3,0
3306,194.008964,-12.956031,12.70,VHS J125601.92-125723.9 b,3559.69600,,,,2015,3,0
577,88.517670,-60.023472,12.83,HD 40307 b,,4.00000,,,2009,3,0
578,88.517670,-60.023472,12.83,HD 40307 c,,6.60000,,,2009,3,0
579,88.517670,-60.023472,12.83,HD 40307 d,,9.50000,,,2009,3,0
580,88.517670,-60.023472,12.83,HD 40307 f,,5.20000,,,2013,3,0
581,88.517670,-60.023472,12.83,HD 40307 g,,7.10000,,,2013,3,0
366,246.005371,-39.192982,12.87,HD 147513 b,,385.00000,,,2003,3,0
3472,24.199345,41.405460,13.47,ups And b,,218.53100,,,1996,3,0
3473,24.199345,41.405460,13.47,ups And c,,629.59500,,,1999,3,0
3474,24.199345,41.405460,13.47,ups And d,,1313.22000,,,1999,3,0
3458,354.836884,77.632278,13.79,gam Cep b,,587.96000,,,2003,3,0
20,164.866562,40.430256,14.08,47 UMa b,,804.08000,,,1996,3,0
21,164.866562,40.430256,14.08,47 UMa c,,171.62100,,,2001,3,0
22,164.866562,40.430256,14.08,47 UMa d,,521.22000,,,2009,3,0
728,243.174057,-18.875504,14.90,HIP 79431 b,,667.41500,,,2009,3,0
108,62.315273,-53.373699,14.97,GJ 163 b,,10.60000,,,2013,3,0
109,62.315273,-53.373699,14.97,GJ 163 c,,6.80000,,,2013,3,0
